1000AA|2024-01-14|True
1002AB|2024-01-14|True
1003AC|2024-01-14|True
1006AD|2024-01-14|True
1007AE|2024-01-14|True
1008AF|2024-01-14|True
1012AG|2024-01-14|True
1013AH|2024-01-14|True
1000AI|2024-01-15|True
1001AJ|2024-01-15|True
1002AK|2024-01-15|True
1003AL|2024-01-15|True
1004AM|2024-01-15|True
1005AN|2024-01-15|True
1006AO|2024-01-15|True
1007AP|2024-01-15|True
1008AQ|2024-01-15|True
1000AR|2024-01-16|True
1005AS|2024-01-16|True
1007AT|2024-01-16|True
1009AU|2024-01-16|True
1010AV|2024-01-16|True
1012AW|2024-01-16|True
1013AX|2024-01-16|True
1001AY|2024-01-17|True
1002AZ|2024-01-17|True
1003BA|2024-01-17|True
1004BB|2024-01-17|True
1006BC|2024-01-17|True
1011BD|2024-01-17|True
1014BE|2024-01-17|True
1005BF|2024-01-18|True
1007BG|2024-01-18|True
1010BH|2024-01-18|True
1012BI|2024-01-18|True
1013BJ|2024-01-18|True
1000BK|2024-01-19|True
1003BL|2024-01-19|True
1004BM|2024-01-19|True
1006BN|2024-01-19|True
1008BO|2024-01-19|True
1013BP|2024-01-19|True
1014BQ|2024-01-19|True
1001BR|2024-01-20|True
1002BS|2024-01-20|True
1005BT|2024-01-20|True
1009BU|2024-01-20|True
1010BV|2024-01-20|True
1011BW|2024-01-20|True
1000BX|2024-01-21|True
1002BY|2024-01-21|True
1003BZ|2024-01-21|True
1006CA|2024-01-21|True
1007CB|2024-01-21|True
1008CC|2024-01-21|True
1012CD|2024-01-21|True
1013CE|2024-01-21|True
1000CF|2024-01-22|True
1001CG|2024-01-22|True
1002CH|2024-01-22|True
1003CI|2024-01-22|True
1004CJ|2024-01-22|True
1005CK|2024-01-22|True
1006CL|2024-01-22|True
1007CM|2024-01-22|True
1008CN|2024-01-22|True
1000CO|2024-01-23|True
1005CP|2024-01-23|True
1007CQ|2024-01-23|True
1009CR|2024-01-23|True
1010CS|2024-01-23|True
1012CT|2024-01-23|True
1013CU|2024-01-23|True
1001CV|2024-01-24|True
1002CW|2024-01-24|True
1003CX|2024-01-24|True
1004CY|2024-01-24|True
1006CZ|2024-01-24|True
1011DA|2024-01-24|True
1014DB|2024-01-24|True
1005DC|2024-01-25|True
1007DD|2024-01-25|True
1010DE|2024-01-25|True
1012DF|2024-01-25|True
1013DG|2024-01-25|True
1000DH|2024-01-26|True
1003DI|2024-01-26|True
1004DJ|2024-01-26|True
1006DK|2024-01-26|True
1008DL|2024-01-26|True
1013DM|2024-01-26|True
1014DN|2024-01-26|True
1001DO|2024-01-27|True
1002DP|2024-01-27|True
1005DQ|2024-01-27|True
1009DR|2024-01-27|True
1010DS|2024-01-27|True
1011DT|2024-01-27|True
1000DU|2024-01-28|True
1002DV|2024-01-28|True
1003DW|2024-01-28|True
1006DX|2024-01-28|True
1007DY|2024-01-28|True
1008DZ|2024-01-28|True
1012EA|2024-01-28|True
1013EB|2024-01-28|True
1000EC|2024-01-29|True
1001ED|2024-01-29|True
1002EE|2024-01-29|True
1003EF|2024-01-29|True
1004EG|2024-01-29|True
1005EH|2024-01-29|True
1006EI|2024-01-29|True
1007EJ|2024-01-29|True
1008EK|2024-01-29|True
1000EL|2024-01-30|True
1005EM|2024-01-30|True
1007EN|2024-01-30|True
1009EO|2024-01-30|True
1010EP|2024-01-30|True
1012EQ|2024-01-30|True
1013ER|2024-01-30|True
1001ES|2024-01-31|True
1002ET|2024-01-31|True
1003EU|2024-01-31|True
1004EV|2024-01-31|True
1006EW|2024-01-31|True
1011EX|2024-01-31|True
1014EY|2024-01-31|True
1005EZ|2024-02-01|True
1007FA|2024-02-01|True
1010FB|2024-02-01|True
1012FC|2024-02-01|True
1013FD|2024-02-01|True
1000FE|2024-02-02|True
1003FF|2024-02-02|True
1004FG|2024-02-02|True
1006FH|2024-02-02|True
1008FI|2024-02-02|True
1013FJ|2024-02-02|True
1014FK|2024-02-02|True
